chip                instancias  fisicas   LOGICAS       DEF  coincide
----------------------------------------------------------------------
cam_frontend             1,375      813       562     1,673  NO (+298)
canny1                  31,756   18,763    12,993    39,924  NO (+8168)
lcd_ili9341              1,388      835       553     1,674  NO (+286)
pan_canny               67,261   46,340    20,921    97,533  NO (+30272)
pan_sobel               63,826   43,877    19,949    92,857  NO (+29031)
sobel                   15,152    9,329     5,823    18,602  NO (+3450)
soc_canny1              59,665   37,611    22,054    76,819  NO (+17154)
soc_sobel               31,302   19,259    12,043    41,502  NO (+10200)
soc_trans              262,996  190,659    72,337   386,632  NO (+123636)
transitivo             244,356  178,697    65,659   357,310  NO (+112954)
tt_mnist_canny_vic      46,476   31,506    14,970    46,476  si
tt_mnist_sobel_vic      46,019   32,700    13,319    46,019  si
vision_canny           144,259  102,334    41,925   220,605  NO (+76346)
vision_canny_mnist     141,778  101,984    39,794   221,056  NO (+79278)
vision_sobel_mnist     138,803  100,160    38,643   215,673  NO (+76870)
vision_top             122,898   87,245    35,653   188,513  NO (+65615)
