Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,165
design__inferred_latch__count,0
design__instance__count,46476
design__instance__area,526140
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,109
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.005916711874306202
power__switching__total,0.001276365015655756
power__leakage__total,0.000020535286239464767
power__total,0.007213612087070942
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2809787482212839
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.27828373726393746
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10836026826985837
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.599889599419308
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.108360
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.733475
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,109
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2969251872863029
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.29303790778909183
timing__hold__ws__corner:nom_slow_1p08V_125C,0.617188317922142
timing__setup__ws__corner:nom_slow_1p08V_125C,7.519744151317186
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.617188
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,7.519744
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,109
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2859148831950976
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2820904423228575
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29427144887106416
timing__setup__ws__corner:nom_typ_1p20V_25C,12.068631768877317
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.294271
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,12.068632
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,109
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2809787482212839
clock__skew__worst_setup,0.27828373726393746
timing__hold__ws,0.10836026826985837
timing__setup__ws,7.519744151317186
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108360
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.519744
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1724.16 313.74
design__core__bbox,2.88 3.78 1721.28 309.96
design__io,45
design__die__area,540938
design__core__area,526140
design__instance__count__stdcell,14970
design__instance__area__stdcell,218697
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.415663
design__instance__utilization__stdcell,0.415663
design__rows,81
design__rows:CoreSite,81
design__sites,289980
design__sites:CoreSite,289980
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,498
design__instance__area__class:inverter,2710.71
design__instance__count__class:sequential_cell,1776
design__instance__area__class:sequential_cell,87004.1
design__instance__count__class:multi_input_combinational_cell,9247
design__instance__area__class:multi_input_combinational_cell,83988.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,11455.1
design__instance__displacement__mean,0.765
design__instance__displacement__max,11.34
route__wirelength__estimated,393496
design__violations,0
design__instance__count__class:timing_repair_buffer,3220
design__instance__area__class:timing_repair_buffer,40424.8
design__instance__count__class:clock_buffer,155
design__instance__area__class:clock_buffer,4026.15
design__instance__count__class:clock_inverter,72
design__instance__area__class:clock_inverter,527.99
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1880
global_route__vias,88740
global_route__wirelength,641728
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,14896
route__net__special,2
route__drc_errors__iter:0,3462
route__wirelength__iter:0,443369
route__drc_errors__iter:1,1233
route__wirelength__iter:1,441047
route__drc_errors__iter:2,990
route__wirelength__iter:2,440254
route__drc_errors__iter:3,63
route__wirelength__iter:3,439991
route__drc_errors__iter:4,5
route__wirelength__iter:4,439985
route__drc_errors__iter:5,5
route__wirelength__iter:5,439985
route__drc_errors__iter:6,0
route__wirelength__iter:6,439971
route__drc_errors,0
route__wirelength,439971
route__vias,85732
route__vias__singlecut,85732
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,865.545
design__instance__count__class:fill_cell,31506
design__instance__area__class:fill_cell,307443
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,100
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,100
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,100
