Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,155
design__inferred_latch__count,0
design__instance__count,46019
design__instance__area,526140
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,94
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.005192297976464033
power__switching__total,0.0013677263632416725
power__leakage__total,0.0000220084057218628
power__total,0.006582032889127731
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2830182279752007
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2830182279752007
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11411072409968959
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.08140832682835
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114111
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,13.081409
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,94
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3028032632564241
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3028032632564241
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6160431228398529
timing__setup__ws__corner:nom_slow_1p08V_125C,3.503901268307717
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.616043
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,3.503901
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,94
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2909336465198559
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2909336465198559
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29646619331936597
timing__setup__ws__corner:nom_typ_1p20V_25C,9.522885860521123
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.296466
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,9.522886
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,94
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2830182279752007
clock__skew__worst_setup,0.2830182279752007
timing__hold__ws,0.11411072409968959
timing__setup__ws,3.503901268307717
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114111
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.503901
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1724.16 313.74
design__core__bbox,2.88 3.78 1721.28 309.96
design__io,45
design__die__area,540938
design__core__area,526140
design__instance__count__stdcell,13319
design__instance__area__stdcell,192462
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.365801
design__instance__utilization__stdcell,0.365801
design__rows,81
design__rows:CoreSite,81
design__sites,289980
design__sites:CoreSite,289980
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,708
design__instance__area__class:inverter,3853.79
design__instance__count__class:sequential_cell,1527
design__instance__area__class:sequential_cell,74805.9
design__instance__count__class:multi_input_combinational_cell,8084
design__instance__area__class:multi_input_combinational_cell,74477.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,10091
design__instance__displacement__mean,0.757
design__instance__displacement__max,11.88
route__wirelength__estimated,358746
design__violations,0
design__instance__count__class:timing_repair_buffer,2811
design__instance__area__class:timing_repair_buffer,35406.2
design__instance__count__class:clock_buffer,130
design__instance__area__class:clock_buffer,3436.47
design__instance__count__class:clock_inverter,57
design__instance__area__class:clock_inverter,468.115
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1654
global_route__vias,78993
global_route__wirelength,582854
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,13271
route__net__special,2
route__drc_errors__iter:0,3306
route__wirelength__iter:0,404816
route__drc_errors__iter:1,1127
route__wirelength__iter:1,402835
route__drc_errors__iter:2,1018
route__wirelength__iter:2,402041
route__drc_errors__iter:3,23
route__wirelength__iter:3,401641
route__drc_errors__iter:4,0
route__wirelength__iter:4,401635
route__drc_errors,0
route__wirelength,401635
route__vias,77099
route__vias__singlecut,77099
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,986.11
design__instance__count__class:fill_cell,32700
design__instance__area__class:fill_cell,333677
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,74
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,74
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,74
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,74
