imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,32,192,16.7
flower,canny1,33,192,17.2
flower,trans,33,192,17.2
flower,soc_sobel,32,192,16.7
flower,soc_canny1,33,192,17.2
flower,soc_trans,33,192,17.2
monarch,sobel,78,192,40.6
monarch,canny1,53,192,27.6
monarch,trans,53,192,27.6
monarch,soc_sobel,78,192,40.6
monarch,soc_canny1,53,192,27.6
monarch,soc_trans,53,192,27.6
butterfly,sobel,108,192,56.2
butterfly,canny1,61,192,31.8
butterfly,trans,63,192,32.8
butterfly,soc_sobel,108,192,56.2
butterfly,soc_canny1,61,192,31.8
butterfly,soc_trans,63,192,32.8
mano,sobel,22,192,11.5
mano,canny1,16,192,8.3
mano,trans,16,192,8.3
mano,soc_sobel,22,192,11.5
mano,soc_canny1,16,192,8.3
mano,soc_trans,16,192,8.3
hi,sobel,107,192,55.7
hi,canny1,75,192,39.1
hi,trans,76,192,39.6
hi,soc_sobel,107,192,55.7
hi,soc_canny1,75,192,39.1
hi,soc_trans,76,192,39.6
