imagen,diseno,bordes,pixeles,densidad_pct
flower,sobel,90,432,20.8
flower,canny1,114,432,26.4
flower,trans,97,432,22.5
flower,soc_sobel,90,432,20.8
flower,soc_canny1,114,432,26.4
flower,soc_trans,97,432,22.5
monarch,sobel,377,432,87.3
monarch,canny1,413,432,95.6
monarch,trans,371,432,85.9
monarch,soc_sobel,377,432,87.3
monarch,soc_canny1,413,432,95.6
monarch,soc_trans,371,432,85.9
butterfly,sobel,392,432,90.7
butterfly,canny1,423,432,97.9
butterfly,trans,392,432,90.7
butterfly,soc_sobel,392,432,90.7
butterfly,soc_canny1,423,432,97.9
butterfly,soc_trans,392,432,90.7
mano,sobel,158,432,36.6
mano,canny1,217,432,50.2
mano,trans,168,432,38.9
mano,soc_sobel,158,432,36.6
mano,soc_canny1,217,432,50.2
mano,soc_trans,168,432,38.9
hi,sobel,327,432,75.7
hi,canny1,379,432,87.7
hi,trans,346,432,80.1
hi,soc_sobel,327,432,75.7
hi,soc_canny1,379,432,87.7
hi,soc_trans,346,432,80.1
