Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,471
design__inferred_latch__count,0
design__instance__count,14191
design__instance__area,137792
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,113
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006668081972748041
power__switching__total,0.0023059884551912546
power__leakage__total,1.608937196806437E-7
power__total,0.008974231779575348
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.31726930314296375
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.31803613420775984
timing__hold__ws__corner:nom_tt_025C_1v80,0.31566306018108403
timing__setup__ws__corner:nom_tt_025C_1v80,12.876617470092533
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315663
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.017049
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,63
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,113
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.36095125132685535
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.36187495690946764
timing__hold__ws__corner:nom_ss_100C_1v60,0.8554068806517986
timing__setup__ws__corner:nom_ss_100C_1v60,8.106756384531973
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.855407
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.106756
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,113
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2957449646665961
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29642353299843827
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11256329520420277
timing__setup__ws__corner:nom_ff_n40C_1v95,13.899368271978892
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112563
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,80
design__max_fanout_violation__count,113
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2898556754436091
clock__skew__worst_setup,0.29035655257533444
timing__hold__ws,0.11154444350568918
timing__setup__ws,7.992458476825037
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111544
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.992458
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,14191
design__instance__area__stdcell,137792
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.610236
design__instance__utilization__stdcell,0.610236
design__instance__count__class:buffer,8
design__instance__count__class:inverter,40
design__instance__count__class:sequential_cell,2429
design__instance__count__class:multi_input_combinational_cell,5130
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,12130
design__instance__count__class:tap_cell,3278
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,269935
design__violations,0
design__instance__count__class:timing_repair_buffer,3107
design__instance__count__class:clock_buffer,119
design__instance__count__class:clock_inverter,17
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2190
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
antenna_diodes_count,63
design__instance__count__class:antenna_cell,63
route__net,10842
route__net__special,2
route__drc_errors__iter:1,5008
route__wirelength__iter:1,321685
route__drc_errors__iter:2,1819
route__wirelength__iter:2,318334
route__drc_errors__iter:3,1608
route__wirelength__iter:3,317530
route__drc_errors__iter:4,169
route__wirelength__iter:4,317079
route__drc_errors__iter:5,1
route__wirelength__iter:5,317054
route__drc_errors__iter:6,0
route__wirelength__iter:6,317047
route__drc_errors,0
route__wirelength,317047
route__vias,76815
route__vias__singlecut,76815
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,715.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,50
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,50
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,50
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,113
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.3095229438141647
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.31010914158774555
timing__hold__ws__corner:min_tt_025C_1v80,0.3118041468829544
timing__setup__ws__corner:min_tt_025C_1v80,12.97191901722167
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
