Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,461
design__inferred_latch__count,0
design__instance__count,6572
design__instance__area,62117.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,60
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003102933056652546
power__switching__total,0.0011806576512753963
power__leakage__total,7.463138018692916E-8
power__total,0.0042836652137339115
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.29258044037885694
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3032078285380394
timing__hold__ws__corner:nom_tt_025C_1v80,0.337746951077688
timing__setup__ws__corner:nom_tt_025C_1v80,13.323001745603712
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.337747
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.896417
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,70
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,60
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.311849638272675
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3310891376997444
timing__hold__ws__corner:nom_ss_100C_1v60,0.9252229244629768
timing__setup__ws__corner:nom_ss_100C_1v60,8.191567656049344
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.925223
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.191567
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,60
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28160838347193173
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28815353696526524
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12033641090865208
timing__setup__ws__corner:nom_ff_n40C_1v95,14.239554827199887
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120336
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,70
design__max_fanout_violation__count,60
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2791461307782808
clock__skew__worst_setup,0.2850349204008927
timing__hold__ws,0.11819617841240102
timing__setup__ws,8.07123635216675
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118196
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.071237
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 508.76 225.76
design__core__bbox,2.76 2.72 506.0 223.04
design__io,45
design__die__area,114858
design__core__area,110874
design__instance__count__stdcell,6572
design__instance__area__stdcell,62117.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.56025
design__instance__utilization__stdcell,0.56025
design__instance__count__class:buffer,8
design__instance__count__class:inverter,17
design__instance__count__class:sequential_cell,1075
design__instance__count__class:multi_input_combinational_cell,2363
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,6442
design__instance__count__class:tap_cell,1577
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,120158
design__violations,0
design__instance__count__class:timing_repair_buffer,1404
design__instance__count__class:clock_buffer,68
design__instance__count__class:clock_inverter,37
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,965
antenna__violating__nets,4
antenna__violating__pins,5
route__antenna_violation__count,4
antenna_diodes_count,23
design__instance__count__class:antenna_cell,23
route__net,4946
route__net__special,2
route__drc_errors__iter:1,2075
route__wirelength__iter:1,144879
route__drc_errors__iter:2,801
route__wirelength__iter:2,143586
route__drc_errors__iter:3,617
route__wirelength__iter:3,142956
route__drc_errors__iter:4,48
route__wirelength__iter:4,142936
route__drc_errors__iter:5,0
route__wirelength__iter:5,142936
route__drc_errors,0
route__wirelength,142936
route__vias,34620
route__vias__singlecut,34620
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,591.39
timing__unannotated_net__count__corner:nom_tt_025C_1v80,68
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,68
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,68
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,60
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.28835298853728003
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2976058095307986
timing__hold__ws__corner:min_tt_025C_1v80,0.3346588656473561
timing__setup__ws__corner:min_tt_025C_1v80,13.444721272395558
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.334659
