Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,485
design__inferred_latch__count,0
design__instance__count,16368
design__instance__area,134528
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,94
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.007822008803486824
power__switching__total,0.0050683957524597645
power__leakage__total,1.664166262571598E-7
power__total,0.012890570797026157
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5530140946147631
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5971199259614448
timing__hold__ws__corner:nom_tt_025C_1v80,0.29585623677238615
timing__setup__ws__corner:nom_tt_025C_1v80,0.9019700797106848
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.295856
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.940591
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,89
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,94
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.718735313830637
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7939378268427288
timing__hold__ws__corner:nom_ss_100C_1v60,0.8353977746022931
timing__setup__ws__corner:nom_ss_100C_1v60,-5.08372824892622
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3013.611461676377
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.08372824892622
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.835398
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,992
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-5.083728
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,992
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,94
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.45983576581354535
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4897477007002954
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11356127470926311
timing__setup__ws__corner:nom_ff_n40C_1v95,2.9132963532836347
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113561
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.694009
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,118
design__max_fanout_violation__count,94
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.4460770490359989
clock__skew__worst_setup,0.47216087931442396
timing__hold__ws,0.11041079474318265
timing__setup__ws,-5.350721794866528
timing__hold__tns,0.0
timing__setup__tns,-3325.471064645069
timing__hold__wns,0
timing__setup__wns,-5.350721794866528
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110411
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2976
timing__setup_r2r__ws,-5.350722
timing__setup_r2r_vio__count,2976
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,16368
design__instance__area__stdcell,134528
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.444837
design__instance__utilization__stdcell,0.444837
design__instance__count__class:buffer,9
design__instance__count__class:inverter,98
design__instance__count__class:sequential_cell,2069
design__instance__count__class:multi_input_combinational_cell,5887
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,19183
design__instance__count__class:tap_cell,4399
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,291243
design__violations,0
design__instance__count__class:timing_repair_buffer,2677
design__instance__count__class:clock_buffer,99
design__instance__count__class:clock_inverter,1068
design__instance__count__setup_buffer,26
design__instance__count__hold_buffer,1676
antenna__violating__nets,12
antenna__violating__pins,20
route__antenna_violation__count,12
antenna_diodes_count,62
design__instance__count__class:antenna_cell,62
route__net,11878
route__net__special,2
route__drc_errors__iter:1,7171
route__wirelength__iter:1,346714
route__drc_errors__iter:2,3165
route__wirelength__iter:2,343186
route__drc_errors__iter:3,3040
route__wirelength__iter:3,342778
route__drc_errors__iter:4,471
route__wirelength__iter:4,341993
route__drc_errors__iter:5,27
route__wirelength__iter:5,341982
route__drc_errors__iter:6,9
route__wirelength__iter:6,341993
route__drc_errors__iter:7,0
route__wirelength__iter:7,342010
route__drc_errors,0
route__wirelength,342010
route__vias,83666
route__vias__singlecut,83666
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,704.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,102
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,102
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,102
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,94
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5313831747250172
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5697840138760119
timing__hold__ws__corner:min_tt_025C_1v80,0.29076930575198795
timing__setup__ws__corner:min_tt_025C_1v80,1.115011226020431
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
