Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,476
design__inferred_latch__count,0
design__instance__count,18820
design__instance__area,161816
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,4
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,118
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.012232651934027672
power__switching__total,0.011747628450393677
power__leakage__total,1.882662843399885E-7
power__total,0.02398046851158142
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4939888637966142
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5275033892334343
timing__hold__ws__corner:nom_tt_025C_1v80,0.31932946080129904
timing__setup__ws__corner:nom_tt_025C_1v80,0.8502176980879406
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319329
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.089779
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,104
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,118
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6140694793131583
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6700775679542552
timing__hold__ws__corner:nom_ss_100C_1v60,0.8821663649265438
timing__setup__ws__corner:nom_ss_100C_1v60,-6.652845573857089
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-6060.376734654136
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-6.652845573857089
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882166
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1069
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-6.652845
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1069
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,118
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4238713666701491
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4478885999965139
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11041745608151879
timing__setup__ws__corner:nom_ff_n40C_1v95,2.808669820662339
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110417
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.950537
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,133
design__max_fanout_violation__count,118
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.40970658580986163
clock__skew__worst_setup,0.434646636540394
timing__hold__ws,0.10473755492689792
timing__setup__ws,-7.019805380118725
timing__hold__tns,0.0
timing__setup__tns,-6412.844140337079
timing__hold__wns,0
timing__setup__wns,-7.019805380118725
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104738
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3207
timing__setup_r2r__ws,-7.019805
timing__setup_r2r_vio__count,3207
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,18820
design__instance__area__stdcell,161816
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.535072
design__instance__utilization__stdcell,0.535072
design__instance__count__class:buffer,12
design__instance__count__class:inverter,81
design__instance__count__class:sequential_cell,2391
design__instance__count__class:multi_input_combinational_cell,7068
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,17220
design__instance__count__class:tap_cell,4399
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,427578
design__violations,0
design__instance__count__class:timing_repair_buffer,3403
design__instance__count__class:clock_buffer,112
design__instance__count__class:clock_inverter,1171
design__instance__count__setup_buffer,40
design__instance__count__hold_buffer,2096
antenna__violating__nets,34
antenna__violating__pins,45
route__antenna_violation__count,34
antenna_diodes_count,183
design__instance__count__class:antenna_cell,183
route__net,14186
route__net__special,2
route__drc_errors__iter:1,9778
route__wirelength__iter:1,518188
route__drc_errors__iter:2,4945
route__wirelength__iter:2,513814
route__drc_errors__iter:3,4783
route__wirelength__iter:3,512886
route__drc_errors__iter:4,723
route__wirelength__iter:4,512166
route__drc_errors__iter:5,169
route__wirelength__iter:5,512047
route__drc_errors__iter:6,28
route__wirelength__iter:6,512060
route__drc_errors__iter:7,4
route__wirelength__iter:7,512029
route__drc_errors__iter:8,1
route__wirelength__iter:8,512025
route__drc_errors__iter:9,1
route__wirelength__iter:9,512025
route__drc_errors__iter:10,1
route__wirelength__iter:10,512026
route__drc_errors__iter:11,1
route__wirelength__iter:11,512034
route__drc_errors__iter:12,1
route__wirelength__iter:12,512032
route__drc_errors__iter:13,1
route__wirelength__iter:13,512032
route__drc_errors__iter:14,1
route__wirelength__iter:14,512032
route__drc_errors__iter:15,1
route__wirelength__iter:15,512032
route__drc_errors__iter:16,0
route__wirelength__iter:16,512046
route__drc_errors,0
route__wirelength,512046
route__vias,107234
route__vias__singlecut,107234
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,774.79
timing__unannotated_net__count__corner:nom_tt_025C_1v80,121
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,121
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,121
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,4
