Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,475
design__inferred_latch__count,0
design__instance__count,13922
design__instance__area,121872
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,94
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00767466751858592
power__switching__total,0.004796178080141544
power__leakage__total,1.4625308608628984E-7
power__total,0.012470991350710392
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5188082332809567
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5409469691965283
timing__hold__ws__corner:nom_tt_025C_1v80,0.23435032355785634
timing__setup__ws__corner:nom_tt_025C_1v80,1.2220864666140938
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.234350
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.166868
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,129
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,94
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6467504492795152
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6833767078977604
timing__hold__ws__corner:nom_ss_100C_1v60,0.7577281239151039
timing__setup__ws__corner:nom_ss_100C_1v60,-4.850300742772531
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-2235.6126187508457
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.850300742772531
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.757728
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,608
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.850301
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,608
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,94
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.43826291058962946
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4535557890971433
timing__hold__ws__corner:nom_ff_n40C_1v95,0.054105166323071135
timing__setup__ws__corner:nom_ff_n40C_1v95,2.8445433480486
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.054105
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.842214
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,143
design__max_fanout_violation__count,94
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.42745116989199416
clock__skew__worst_setup,0.4415381796272071
timing__hold__ws,0.05224176794583977
timing__setup__ws,-5.123338343029836
timing__hold__tns,0.0
timing__setup__tns,-2364.556915862523
timing__hold__wns,0
timing__setup__wns,-5.123338343029836
timing__hold_vio__count,0
timing__hold_r2r__ws,0.052242
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1824
timing__setup_r2r__ws,-5.123338
timing__setup_r2r_vio__count,1824
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,13922
design__instance__area__stdcell,121872
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.53973
design__instance__utilization__stdcell,0.53973
design__instance__count__class:buffer,9
design__instance__count__class:inverter,71
design__instance__count__class:sequential_cell,1935
design__instance__count__class:multi_input_combinational_cell,5169
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13099
design__instance__count__class:tap_cell,3278
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,271287
design__violations,0
design__instance__count__class:timing_repair_buffer,2602
design__instance__count__class:clock_buffer,95
design__instance__count__class:clock_inverter,679
design__instance__count__setup_buffer,37
design__instance__count__hold_buffer,1647
antenna__violating__nets,11
antenna__violating__pins,16
route__antenna_violation__count,11
antenna_diodes_count,84
design__instance__count__class:antenna_cell,84
route__net,10536
route__net__special,2
route__drc_errors__iter:1,5787
route__wirelength__iter:1,322575
route__drc_errors__iter:2,2640
route__wirelength__iter:2,319204
route__drc_errors__iter:3,2339
route__wirelength__iter:3,318848
route__drc_errors__iter:4,447
route__wirelength__iter:4,318205
route__drc_errors__iter:5,46
route__wirelength__iter:5,318287
route__drc_errors__iter:6,6
route__wirelength__iter:6,318272
route__drc_errors__iter:7,0
route__wirelength__iter:7,318259
route__drc_errors,0
route__wirelength,318259
route__vias,75163
route__vias__singlecut,75163
route__vias__multicut,0
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,829.85
timing__unannotated_net__count__corner:nom_tt_025C_1v80,97
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,97
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,97
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,94
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5023046565308482
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5231250025673908
timing__hold__ws__corner:min_tt_025C_1v80,0.23177815878165897
timing__setup__ws__corner:min_tt_025C_1v80,1.318352575534303
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
