Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,39
design__inferred_latch__count,0
design__instance__count,13997
design__instance__area,109085
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,78
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.005850175395607948
power__switching__total,0.0036334902979433537
power__leakage__total,1.3770075213415112E-7
power__total,0.009483803063631058
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4997071786689736
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5597122923563697
timing__hold__ws__corner:nom_tt_025C_1v80,0.3130811254419937
timing__setup__ws__corner:nom_tt_025C_1v80,1.16548551886108
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313081
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.332358
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,79
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,78
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6253027161940132
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7192830978864795
timing__hold__ws__corner:nom_ss_100C_1v60,0.8664804674571973
timing__setup__ws__corner:nom_ss_100C_1v60,-3.205753087058474
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1595.3659609385782
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.205753087058474
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.866480
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,608
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.205753
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,608
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,78
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.4264000662137031
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4691567267471275
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11414525203673195
timing__setup__ws__corner:nom_ff_n40C_1v95,2.9155265693585766
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114145
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.931816
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,99
design__max_fanout_violation__count,78
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.4164356477524256
clock__skew__worst_setup,0.45238850057603924
timing__hold__ws,0.11080936482029541
timing__setup__ws,-3.5194737009807375
timing__hold__tns,0.0
timing__setup__tns,-1753.445239524518
timing__hold__wns,0
timing__setup__wns,-3.5194737009807375
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110809
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1824
timing__setup_r2r__ws,-3.519474
timing__setup_r2r_vio__count,1824
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,13997
design__instance__area__stdcell,109085
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.360706
design__instance__utilization__stdcell,0.360706
design__instance__count__class:buffer,5
design__instance__count__class:inverter,84
design__instance__count__class:sequential_cell,1619
design__instance__count__class:multi_input_combinational_cell,4870
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,20303
design__instance__count__class:tap_cell,4399
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,251934
design__violations,0
design__instance__count__class:timing_repair_buffer,2188
design__instance__count__class:clock_buffer,90
design__instance__count__class:clock_inverter,686
design__instance__count__setup_buffer,40
design__instance__count__hold_buffer,1361
antenna__violating__nets,17
antenna__violating__pins,18
route__antenna_violation__count,17
antenna_diodes_count,56
design__instance__count__class:antenna_cell,56
route__net,9503
route__net__special,2
route__drc_errors__iter:1,5222
route__wirelength__iter:1,297651
route__drc_errors__iter:2,2536
route__wirelength__iter:2,295284
route__drc_errors__iter:3,2418
route__wirelength__iter:3,294711
route__drc_errors__iter:4,228
route__wirelength__iter:4,294172
route__drc_errors__iter:5,14
route__wirelength__iter:5,294085
route__drc_errors__iter:6,13
route__wirelength__iter:6,294085
route__drc_errors__iter:7,3
route__wirelength__iter:7,294083
route__drc_errors__iter:8,0
route__wirelength__iter:8,294084
route__drc_errors,0
route__wirelength,294084
route__vias,68015
route__vias__singlecut,68015
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,737.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,123
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,123
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,123
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,78
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.48279581699038737
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.533725079239395
timing__hold__ws__corner:min_tt_025C_1v80,0.30891057253203796
timing__setup__ws__corner:min_tt_025C_1v80,1.3368426743985562
timing__hold__tns__corner:min_tt_025C_1v80,0.0
