Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,28
design__inferred_latch__count,0
design__instance__count,14004
design__instance__area,124721
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,103
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.005419587250798941
power__switching__total,0.001617639558389783
power__leakage__total,1.5022359889371728E-7
power__total,0.007037377450615168
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3113970003327339
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3167865781582043
timing__hold__ws__corner:nom_tt_025C_1v80,0.31390479992725817
timing__setup__ws__corner:nom_tt_025C_1v80,13.276848440897108
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313905
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.561154
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,62
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,103
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.35031220582558464
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.36098855482153774
timing__hold__ws__corner:nom_ss_100C_1v60,0.8775647124039337
timing__setup__ws__corner:nom_ss_100C_1v60,7.8182760256545905
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877565
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.818276
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,103
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2904479794439981
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2942878524167169
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11371581775866171
timing__setup__ws__corner:nom_ff_n40C_1v95,14.31902015265789
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113716
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.879142
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,95
design__max_fanout_violation__count,103
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2843766691509758
clock__skew__worst_setup,0.2887276333075354
timing__hold__ws,0.1107952649874839
timing__setup__ws,7.5160662043771875
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110795
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.516066
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,14004
design__instance__area__stdcell,124721
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.552347
design__instance__utilization__stdcell,0.552347
design__instance__count__class:buffer,4
design__instance__count__class:inverter,39
design__instance__count__class:sequential_cell,2067
design__instance__count__class:multi_input_combinational_cell,5475
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,13107
design__instance__count__class:tap_cell,3278
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,266200
design__violations,0
design__instance__count__class:timing_repair_buffer,2917
design__instance__count__class:clock_buffer,112
design__instance__count__class:clock_inverter,16
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1997
antenna__violating__nets,11
antenna__violating__pins,12
route__antenna_violation__count,11
antenna_diodes_count,96
design__instance__count__class:antenna_cell,96
route__net,10615
route__net__special,2
route__drc_errors__iter:1,5198
route__wirelength__iter:1,326310
route__drc_errors__iter:2,1787
route__wirelength__iter:2,323978
route__drc_errors__iter:3,1685
route__wirelength__iter:3,323190
route__drc_errors__iter:4,117
route__wirelength__iter:4,322773
route__drc_errors__iter:5,0
route__wirelength__iter:5,322739
route__drc_errors,0
route__wirelength,322739
route__vias,74047
route__vias__singlecut,74047
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,932.85
timing__unannotated_net__count__corner:nom_tt_025C_1v80,68
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,68
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,68
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,103
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.3019925228697623
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.30803580003062
timing__hold__ws__corner:min_tt_025C_1v80,0.31006431633185855
timing__setup__ws__corner:min_tt_025C_1v80,13.289772325447679
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.310064
